subject,location,strenght,centroid,min,max
10,9,1,50.0840249,21,79
11,9,1,50.02631579,46,54
12,9,1,3.640625,-15,22
1,9,2,-16.78379623,-108,73
2,9,2,2.26518847,-72,75
3,9,2,8.240253113,-68,78
4,9,2,-4.559164733,-67,36
5,9,2,2.04946577,-95,68
6,9,2,-36.25227964,-121,73
8,9,2,-50.45928124,-157,13
9,9,2,-31.80168313,-153,52
10,9,2,21.7055473,-75,86
11,9,2,12.61146497,-70,70
12,9,2,-0.444706994,-61,79
